ORGANIZATION_ID,LEGAL_ENTITY_COUNTRY_CODE,COUNT_TOTAL_CONTRACTS_ACTIVE,FIRST_PAYMENT_DATE,LAST_PAYMENT_DATE,CREATED_AT_UTC,ORGANIZATION_AGE_DAYS,DAYS_SINCE_LAST_PAYMENT,CONTRACT_PORTFOLIO_SIZE,ORGANIZATION_MATURITY
7298451759417388504,4736769731255185114,1,,,2024-03-01 23:04:27.707,471,,single_contract,mature
7520666612417001749,1785886735892434650,1,,,2024-03-01 23:02:14.002,471,,single_contract,mature
7388546517407473585,1785886735892434650,1,,,2024-03-01 19:01:13.116,471,,single_contract,mature
857046908851335948,1785886735892434650,1,,,2024-03-01 08:24:21.781,471,,single_contract,mature
8914696342016019891,1785886735892434650,1,,,2024-03-01 02:44:24.960,471,,single_contract,mature
7983669896354635135,1785886735892434650,1,,,2024-03-01 02:26:08.073,471,,single_contract,mature
1363853300053583695,5555128227054070907,1,,,2024-03-01 00:08:20.338,471,,single_contract,mature
7823591939616087384,8746074431303385090,1,,,2024-02-29 16:35:37.494,472,,single_contract,mature
9113153824214648082,1785886735892434650,2,2024-02-29,2024-02-29,2024-02-29 06:27:01.557,472,472,small_portfolio,mature
4288433239228288414,1785886735892434650,1,2024-02-29,2024-02-29,2024-02-29 03:17:56.197,472,472,single_contract,mature
638677654526702926,2180795939441829137,2,,,2024-02-29 01:46:12.518,472,,small_portfolio,mature
5093696214314789796,7818713552222454015,1,,,2024-02-29 00:16:01.348,472,,single_contract,mature
12629544917040013,2844572589347107685,1,,,2024-02-28 23:38:30.839,473,,single_contract,mature
2110538865108044011,5908655952517629978,1,,,2024-02-28 16:02:48.310,473,,single_contract,mature
5578871358479757769,1785886735892434650,1,,,2024-02-28 15:30:17.153,473,,single_contract,mature
3970316088835671366,1785886735892434650,2,,,2024-02-28 14:09:06.774,473,,small_portfolio,mature
5937933492324617448,4736769731255185114,1,,,2024-02-28 10:49:46.065,473,,single_contract,mature
1593010320373769519,8419133294835872742,1,,,2024-02-28 10:11:32.533,473,,single_contract,mature
1787413185483028037,1785886735892434650,2,,,2024-02-28 09:59:44.177,473,,small_portfolio,mature
7895589047810791893,1785886735892434650,1,,,2024-02-28 07:00:05.013,473,,single_contract,mature
8170615499615597436,1785886735892434650,1,2024-03-01,2024-03-01,2024-02-28 05:03:59.932,473,471,single_contract,mature
7168550211455877242,1785886735892434650,1,,,2024-02-28 04:02:36.087,473,,single_contract,mature
5351057968690865571,1785886735892434650,1,,,2024-02-28 01:49:16.977,473,,single_contract,mature
1201073420439748694,1522934383609501694,1,,,2024-02-27 23:50:32.625,474,,single_contract,mature
1583780534992721173,1785886735892434650,1,,,2024-02-27 23:27:48.578,474,,single_contract,mature
676631865953201427,8419133294835872742,1,2024-02-29,2024-02-29,2024-02-27 23:08:50.534,474,472,single_contract,mature
1726131325632361540,9215732911288974810,23,,,2024-02-27 23:07:16.412,474,,large_portfolio,mature
9074470903504598776,3831768902884185520,1,2024-02-27,2024-02-27,2024-02-27 22:58:26.558,474,474,single_contract,mature
6947536928191177117,1785886735892434650,1,2024-02-29,2024-03-01,2024-02-27 22:24:19.129,474,471,single_contract,mature
6238800773886749208,8247619789285346046,1,,,2024-02-27 21:17:59.540,474,,single_contract,mature
8506602314569580656,5908655952517629978,1,,,2024-02-27 18:20:26.597,474,,single_contract,mature
7396141755909949745,5908655952517629978,1,,,2024-02-27 15:59:40.516,474,,single_contract,mature
696693379421601180,1785886735892434650,1,,,2024-02-27 13:48:28.114,474,,single_contract,mature
5366825551753206216,1785886735892434650,1,2024-02-26,2024-02-26,2024-02-27 04:39:32.365,474,475,single_contract,mature
5962014979326611361,3444735119858689510,3,2024-03-01,2024-03-01,2024-02-27 01:04:04.067,474,471,small_portfolio,mature
6001042460324802333,4965702246054775539,29,2024-03-01,2024-03-01,2024-02-27 01:01:21.510,474,471,large_portfolio,mature
4423602698761767322,1785886735892434650,2,2024-02-29,2024-02-29,2024-02-27 00:18:23.835,474,472,small_portfolio,mature
4840724388800326092,7451721741397370674,1,,,2024-02-26 18:56:06.008,475,,single_contract,mature
3954595104099186072,4662680920794162902,2,,,2024-02-26 18:16:50.127,475,,small_portfolio,mature
2810238021715955964,2912891528711707500,1,2024-02-29,2024-02-29,2024-02-26 17:16:34.533,475,472,single_contract,mature
3120408988140433539,8247619789285346046,1,,,2024-02-26 14:53:20.400,475,,single_contract,mature
5094149465210692962,8540432127902748101,2,,,2024-02-26 09:04:16.138,475,,small_portfolio,mature
7637114272801216171,8801129865032507869,1,,,2024-02-26 04:47:14.542,475,,single_contract,mature
5096626420188584573,4714508189404844389,1,,,2024-02-26 03:21:56.223,475,,single_contract,mature
8854153125168781944,1785886735892434650,7,2024-02-28,2024-02-29,2024-02-25 21:01:51.328,476,472,medium_portfolio,mature
2758442923471613188,8351829573223994696,1,,,2024-02-25 18:29:27.946,476,,single_contract,mature
792866725416186268,6934767355204630553,1,,,2024-02-25 17:53:05.800,476,,single_contract,mature
4318410685034720663,1785886735892434650,1,,,2024-02-25 01:03:04.061,476,,single_contract,mature
92376501274244677,1785886735892434650,1,,,2024-02-25 00:52:29.889,476,,single_contract,mature
1749900446661273789,1785886735892434650,3,2024-02-29,2024-02-29,2024-02-24 13:14:29.065,477,472,small_portfolio,mature
1030242555652175633,1785886735892434650,1,,,2024-02-24 09:49:16.874,477,,single_contract,mature
2383846209917506626,4736769731255185114,1,2024-03-01,2024-03-01,2024-02-24 04:02:42.131,477,471,single_contract,mature
9042712631312862624,8419133294835872742,1,,,2024-02-24 03:10:44.736,477,,single_contract,mature
8363117169755014028,3444735119858689510,2,2024-02-27,2024-02-27,2024-02-24 02:56:53.317,477,474,small_portfolio,mature
1010429334556835535,100854512973859422,1,2024-02-29,2024-02-29,2024-02-24 02:08:44.807,477,472,single_contract,mature
3318997854180522000,1785886735892434650,1,,,2024-02-24 00:45:04.526,477,,single_contract,mature
5198762135535929706,1785886735892434650,1,,,2024-02-24 00:34:27.363,477,,single_contract,mature
2055911271208393188,2319918803972746905,2,2024-02-29,2024-02-29,2024-02-24 00:18:52.390,477,472,small_portfolio,mature
5590433905061967107,3838867955087354797,1,2024-02-23,2024-02-23,2024-02-23 20:05:08.770,478,478,single_contract,mature
1301598753578046367,1785886735892434650,1,,,2024-02-23 19:21:46.313,478,,single_contract,mature
8957511616084178897,4714508189404844389,1,,,2024-02-23 18:43:24.279,478,,single_contract,mature
4072697432150387200,4662680920794162902,1,2024-02-27,2024-02-27,2024-02-23 15:19:36.242,478,474,single_contract,mature
1027667093083601673,5290661817526476209,1,2024-02-28,2024-02-28,2024-02-23 15:11:20.082,478,473,single_contract,mature
7967884285835764740,6823913350072069863,1,,,2024-02-23 14:50:15.230,478,,single_contract,mature
1138510187908760893,6934767355204630553,1,2024-02-27,2024-02-27,2024-02-23 13:25:31.649,478,474,single_contract,mature
6166281652614224420,1785886735892434650,1,2024-02-28,2024-02-28,2024-02-23 07:37:31.085,478,473,single_contract,mature
848289607021528494,1785886735892434650,1,,,2024-02-23 07:20:43.484,478,,single_contract,mature
1764447919394152712,1785886735892434650,3,,,2024-02-23 06:47:38.144,478,,small_portfolio,mature
2833917982580838607,1785886735892434650,1,,,2024-02-23 06:42:53.395,478,,single_contract,mature
2478154270011971356,3831768902884185520,1,2024-02-28,2024-02-28,2024-02-23 05:12:53.459,478,473,single_contract,mature
